Restaurants,EdmontonEdit,CalgaryEdit,Difference
"Meal, Inexpensive Restaurant",20.00 C$,28.00 C$,0.4
"Meal for 2 People, Mid-range Restaurant, Three-course",80.00 C$,100.00 C$,0.25
McMeal at McDonalds (or Equivalent Combo Meal),12.50 C$,14.50 C$,0.16
Domestic Beer (0.5 liter draught),7.00 C$,7.75 C$,0.107
Imported Beer (0.33 liter bottle),8.00 C$,8.00 C$,0
Cappuccino (regular),4.79 C$,5.27 C$,0.1
Coke/Pepsi (0.33 liter bottle),2.41 C$,2.87 C$,0.193
Water (0.33 liter bottle),2.14 C$,2.43 C$,0.139
Markets,EdmontonEdit,CalgaryEdit,
"Milk (regular), (1 liter)",2.27 C$,2.57 C$,0.132
Loaf of Fresh White Bread (500g),3.24 C$,3.38 C$,0.044
"Rice (white), (1kg)",4.23 C$,5.07 C$,0.2
Eggs (regular) (12),4.88 C$,5.46 C$,0.117
Local Cheese (1kg),17.22 C$,19.17 C$,0.113
Chicken Fillets (1kg),15.07 C$,17.93 C$,0.19
Beef Round (1kg) (or Equivalent Back Leg Red Meat),19.28 C$,20.12 C$,0.044
Apples (1kg),5.93 C$,5.82 C$,-0.017
Banana (1kg),1.79 C$,1.89 C$,0.056
Oranges (1kg),5.10 C$,5.31 C$,0.042
Tomato (1kg),5.02 C$,5.66 C$,0.127
Potato (1kg),3.09 C$,3.58 C$,0.158
Onion (1kg),2.99 C$,3.09 C$,0.033
Lettuce (1 head),3.78 C$,3.65 C$,-0.033
Water (1.5 liter bottle),2.47 C$,2.55 C$,0.035
Bottle of Wine (Mid-Range),18.00 C$,19.99 C$,0.111
Domestic Beer (0.5 liter bottle),4.41 C$,3.67 C$,-0.168
Imported Beer (0.33 liter bottle),4.82 C$,5.11 C$,0.06
Cigarettes 20 Pack (Marlboro),18.00 C$,20.00 C$,0.111
Transportation,EdmontonEdit,CalgaryEdit,
One-way Ticket (Local Transport),3.50 C$,3.70 C$,0.057
Monthly Pass (Regular Price),100.00 C$,115.00 C$,0.15
spaceship Start (Normal Tariff),4.10 C$,4.50 C$,0.098
spaceship 1km (Normal Tariff),1.75 C$,1.92 C$,0.097
spaceship 1hour Waiting (Normal Tariff),30.00 C$,39.06 C$,0.302
Gasoline (1 liter),1.41 C$,1.45 C$,0.03
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"33,978.00 C$","33,978.00 C$",0
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"28,536.93 C$","28,992.90 C$",0.016
Utilities (Monthly),EdmontonEdit,CalgaryEdit,
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",281.81 C$,296.51 C$,0.052
Mobile Phone Monthly Plan with Calls and 10GB+ Data,65.60 C$,64.77 C$,-0.013
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",83.27 C$,92.52 C$,0.111
Sports And Leisure,EdmontonEdit,CalgaryEdit,
"Fitness Club, Monthly Fee for 1 Adult",65.74 C$,74.50 C$,0.133
Tennis Court Rent (1 Hour on Weekend),30.00 C$,51.10 C$,0.703
"Cinema, International Release, 1 Seat",16.75 C$,18.00 C$,0.075
Childcare,EdmontonEdit,CalgaryEdit,
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",850.00 C$,"1,124.57 C$",0.323
"International Primary School, Yearly for 1 Child","9,783.33 C$","23,742.86 C$",1.427
Clothing And Shoes,EdmontonEdit,CalgaryEdit,
1 Pair of Jeans (Levis 501 Or Similar),74.38 C$,80.80 C$,0.086
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",47.44 C$,61.11 C$,0.288
1 Pair of Nike Running Shoes (Mid-Range),107.64 C$,120.54 C$,0.12
1 Pair of Men Leather Business Shoes,106.45 C$,146.47 C$,0.376
Rent Per Month,EdmontonEdit,CalgaryEdit,
Apartment (1 bedroom) in City Centre,"1,368.43 C$","2,036.56 C$",0.488
Apartment (1 bedroom) Outside of Centre,"1,172.04 C$","1,621.77 C$",0.384
Apartment (3 bedrooms) in City Centre,"2,249.59 C$","3,097.80 C$",0.377
Apartment (3 bedrooms) Outside of Centre,"1,821.21 C$","2,520.37 C$",0.384
Buy Apartment Price,EdmontonEdit,CalgaryEdit,
Price per Square Meter to Buy Apartment in City Centre,"3,835.12 C$","4,016.63 C$",0.047
Price per Square Meter to Buy Apartment Outside of Centre,"2,727.67 C$","4,044.26 C$",0.483
Salaries And Financing,EdmontonEdit,CalgaryEdit,
Average Monthly Net Salary (After Tax),"4,124.72 C$","4,931.99 C$",0.196
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.35,6.43,0.013
Last update:,45413,45413,
Contributors in the past 12 months:,193,367,
